_id,Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
1,2024-25,4305992,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Ministry Administration,No Value,Salaries and wages,No Value
2,2024-25,752505,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Ministry Administration,No Value,Employee benefits,No Value
3,2024-25,136262,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Ministry Administration,No Value,Transportation and communication,No Value
4,2024-25,10068121,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Ministry Administration,No Value,Services,No Value
5,2024-25,72316,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Ministry Administration,No Value,Supplies and equipment,No Value
6,2024-25,13758014,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Salaries and wages,No Value
7,2024-25,2013360,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Employee benefits,No Value
8,2024-25,281703,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transportation and communication,No Value
9,2024-25,7324670,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Services,No Value
10,2024-25,45960,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Supplies and equipment,No Value
11,2024-25,3016869,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transfer payments,Capacity and Growth Fund
12,2024-25,8784075,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transfer payments,Indigenous Economic Development Fund
13,2024-25,8948960,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transfer payments,Participation Fund
14,2024-25,14216741,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transfer payments,Support for Community Negotiations Fund
15,2024-25,9904839,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transfer payments,Policy Development Engagement Fund
16,2024-25,12113500,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transfer payments,New Relationship Fund
17,2024-25,17473084,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Indigenous Affairs,No Value,Transfer payments,Support for Indian Residential School Burial Sites
18,2024-25,91141753,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Land Claims and Self-Government Initiatives,No Value,Transfer payments,Land Claim Settlements
19,2024-25,754984400,Indigenous Affairs,Operating Expense,Indigenous Affairs Program,Statutory Appropriations,No Value,Transfer payments,"Mercury Disability Fund - Trustee, English and Wabigoon River Systems Mercury Contamination Settlement Agreement Act, 1986 "
20,2024-25,5730523,Indigenous Affairs,Capital Expense,Indigenous Affairs Program,Indigenous Affairs Capital Program,No Value,Transfer payments,Indigenous Community Capital Grants Program
21,2024-25,400000,Indigenous Affairs,Capital Expense,Indigenous Affairs Program,Indigenous Affairs Capital Program,No Value,Transfer payments,Other Capital Projects
22,2024-25,3888906,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
23,2024-25,499030,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
24,2024-25,141387,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
25,2024-25,327097,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
26,2024-25,26387,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
27,2024-25,2541004,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,No Value
28,2024-25,363055,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,No Value
29,2024-25,218969,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
30,2024-25,556628,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
31,2024-25,16781,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
32,2024-25,3146854,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,No Value
33,2024-25,447156,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,No Value
34,2024-25,8284,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,No Value
35,2024-25,139847,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,No Value
36,2024-25,2662,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,No Value
37,2024-25,2167544,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
